title,type,director,country,date_added,release_year,rating,duration,listed_in
3%,TV Show,,Brazil,14-Aug-20,2020,TV-MA,4 Seasons,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
7:19,Movie,Jorge Michel Grau,Mexico,23-Dec-16,2016,TV-MA,93 min,"Dramas, International Movies"
23:59,Movie,Gilbert Chan,Singapore,20-Dec-18,2011,R,78 min,"Horror Movies, International Movies"
9,Movie,Shane Acker,United States,16-Nov-17,2009,PG-13,80 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy"
21,Movie,Robert Luketic,United States,1-Jan-20,2008,PG-13,123 min,Dramas
46,TV Show,Serdar Akar,Turkey,1-Jul-17,2016,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries"
122,Movie,Yasir Al Yasiri,Egypt,1-Jun-20,2019,TV-MA,95 min,"Horror Movies, International Movies"
187,Movie,Kevin Reynolds,United States,1-Nov-19,1997,R,119 min,Dramas
706,Movie,Shravan Kumar,India,1-Apr-19,2019,TV-14,118 min,"Horror Movies, International Movies"
1920,Movie,Vikram Bhatt,India,15-Dec-17,2008,TV-MA,143 min,"Horror Movies, International Movies, Thrillers"
1922,Movie,Zak Hilditch,United States,20-Oct-17,2017,TV-MA,103 min,"Dramas, Thrillers"
1983,TV Show,,"Poland, United States",30-Nov-18,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
1994,TV Show,Diego Enrique Osorno,Mexico,17-May-19,2019,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
"2,215",Movie,Nottapon Boonprakob,Thailand,1-Mar-19,2018,TV-MA,89 min,"Documentaries, International Movies, Sports Movies"
3022,Movie,John Suits,United States,19-Mar-20,2019,R,91 min,"Independent Movies, Sci-Fi & Fantasy, Thrillers"
1-Oct,Movie,Kunle Afolayan,Nigeria,1-Sep-19,2014,TV-14,149 min,"Dramas, International Movies, Thrillers"
9-Feb,TV Show,,,20-Mar-19,2018,TV-14,1 Season,"International TV Shows, TV Dramas"
22-Jul,Movie,Paul Greengrass,"Norway, Iceland, United States",10-Oct-18,2018,R,144 min,"Dramas, Thrillers"
15-Aug,Movie,Swapnaneel Jayakar,India,29-Mar-19,2019,TV-14,124 min,"Comedies, Dramas, Independent Movies"
'89,Movie,,United Kingdom,16-May-18,2017,TV-PG,87 min,Sports Movies
​​Kuch Bheege Alfaaz,Movie,Onir,India,1-Sep-18,2018,TV-14,110 min,"Dramas, Independent Movies, International Movies"
​Goli Soda 2,Movie,Vijay Milton,India,15-Sep-18,2018,TV-14,128 min,"Action & Adventure, Dramas, International Movies"
​Maj Rati ​​Keteki,Movie,Santwana Bardoloi,India,15-Sep-18,2017,TV-14,117 min,"Dramas, International Movies"
​Mayurakshi,Movie,Atanu Ghosh,India,15-Sep-18,2017,TV-14,100 min,"Dramas, International Movies"
​SAINT SEIYA: Knights of the Zodiac,TV Show,,Japan,23-Jan-20,2020,TV-14,2 Seasons,"Anime Series, International TV Shows"
(T)ERROR,Movie,"Lyric R. Cabral, David Felix Sutcliffe",United States,30-Jun-16,2015,NR,84 min,Documentaries
(Un)Well,TV Show,,United States,12-Aug-20,2020,TV-MA,1 Season,Reality TV
#Alive,Movie,Cho Il,South Korea,8-Sep-20,2020,TV-MA,99 min,"Horror Movies, International Movies, Thrillers"
#AnneFrank - Parallel Stories,Movie,"Sabina Fedeli, Anna Migotto",Italy,1-Jul-20,2019,TV-14,95 min,"Documentaries, International Movies"
#blackAF,TV Show,,United States,17-Apr-20,2020,TV-MA,1 Season,TV Comedies
#cats_the_mewvie,Movie,Michael Margolis,Canada,5-Feb-20,2020,TV-14,90 min,"Documentaries, International Movies"
#FriendButMarried,Movie,Rako Prijanto,Indonesia,21-May-20,2018,TV-G,102 min,"Dramas, International Movies, Romantic Movies"
#FriendButMarried 2,Movie,Rako Prijanto,Indonesia,28-Jun-20,2020,TV-G,104 min,"Dramas, International Movies, Romantic Movies"
#realityhigh,Movie,Fernando Lebrija,United States,8-Sep-17,2017,TV-14,99 min,Comedies
#Roxy,Movie,Michael Kennedy,Canada,10-Apr-19,2018,TV-14,105 min,"Comedies, Romantic Movies"
#Rucker50,Movie,Robert McCullough Jr.,United States,1-Dec-16,2016,TV-PG,56 min,"Documentaries, Sports Movies"
#Selfie,Movie,Cristina Jacob,Romania,1-Jun-19,2014,TV-MA,125 min,"Comedies, Dramas, International Movies"
#Selfie 69,Movie,Cristina Jacob,Romania,1-Jun-19,2016,TV-MA,119 min,"Comedies, Dramas, International Movies"
แผนร้ายนายเจ้าเล่ห์,TV Show,,,30-Mar-19,2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
"¡Ay, mi madre!",Movie,Frank Ariza,Spain,19-Jul-19,2019,TV-MA,81 min,"Comedies, International Movies"
Çarsi Pazar,Movie,Muharrem Gülmez,Turkey,10-Mar-17,2015,TV-14,97 min,"Comedies, International Movies"
Ég man þig,Movie,Óskar Thór Axelsson,Iceland,27-Mar-18,2017,TV-MA,106 min,"Horror Movies, International Movies"
Çok Filim Hareketler Bunlar,Movie,Ozan Açıktan,Turkey,10-Mar-17,2010,TV-MA,99 min,"Comedies, International Movies"
Òlòtūré,Movie,Kenneth Gyang,Nigeria,2-Oct-20,2020,TV-MA,107 min,"Dramas, International Movies"
Æon Flux,Movie,Karyn Kusama,United States,1-Feb-18,2005,PG-13,93 min,"Action & Adventure, Sci-Fi & Fantasy"
Şubat,TV Show,,Turkey,17-Jan-17,2013,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
1 Chance 2 Dance,Movie,Adam Deyoe,United States,1-Jul-17,2014,TV-PG,89 min,"Dramas, Romantic Movies"
1 Mile to You,Movie,Leif Tilden,United States,7-Jul-17,2017,TV-14,105 min,"Dramas, Romantic Movies, Sports Movies"
10 Days in Sun City,Movie,Adze Ugah,"South Africa, Nigeria",18-Oct-19,2017,TV-14,87 min,"Comedies, International Movies, Romantic Movies"
10 jours en or,Movie,Nicolas Brossette,France,1-Jul-17,2012,TV-14,97 min,"Comedies, Dramas, International Movies"
"10,000 B.C.",Movie,Roland Emmerich,"United States, South Africa",1-Jun-19,2008,PG-13,109 min,Action & Adventure
100 Days My Prince,TV Show,,South Korea,7-Dec-20,2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
100 Days Of Solitude,Movie,,Spain,6-Jul-18,2018,TV-MA,93 min,"Documentaries, International Movies"
100 Humans,TV Show,,United States,13-Mar-20,2020,TV-14,1 Season,"Docuseries, Science & Nature TV"
100 Meters,Movie,Marcel Barrena,"Portugal, Spain",10-Mar-17,2016,TV-MA,109 min,"Dramas, International Movies, Sports Movies"
100 Things to do Before High School,Movie,,United States,2-Nov-19,2014,TV-Y,44 min,Movies
